number of people:1
point1.x,point1.y,  point3.x,point3.y,  point4.x,point4.y,  point5.x,point5.y,  point6.x,point6.y,  point8.x,point8.y,  point9.x,point9.y,  point10.x,point10.y,  point12.x,point12.y,  point13.x,point13.y,  point14.x,point14.y,  point16.x,point16.y,  point17.x,point17.y,  point18.x,point18.y,  point20.x,point20.y,  
269,243,271,125,217,210,180,279,166,323,330,208,364,270,363,312,239,321,189,363,100,434,288,325,366,333,299,502,273,190,
270,243,272,125,219,210,183,279,168,324,331,208,363,266,368,311,240,321,189,360,98,428,289,325,367,334,298,501,274,190,
271,243,272,126,219,210,184,279,170,324,331,209,362,262,373,311,241,321,189,359,97,424,290,325,367,334,298,501,274,190,
271,243,272,126,220,210,185,279,171,324,331,209,362,262,373,311,242,321,189,359,97,422,291,325,367,335,298,501,275,190,
272,243,272,126,220,210,186,280,172,324,331,209,363,266,368,312,242,321,189,359,96,422,292,325,367,335,299,501,275,190,
272,243,272,126,220,210,186,280,172,324,331,209,362,266,368,310,242,321,189,359,96,421,292,325,367,335,299,501,275,190,
271,243,272,126,219,210,187,280,172,324,330,209,362,270,365,309,242,321,189,359,95,421,291,325,366,335,299,502,274,190,
271,243,271,126,218,210,187,281,172,324,330,209,362,274,360,304,241,322,189,358,95,420,291,325,364,335,297,503,274,190,
271,243,271,126,217,210,187,282,171,324,329,209,362,274,358,299,241,322,188,358,95,420,291,325,360,336,293,507,274,190,
270,243,270,126,217,210,187,282,168,318,328,208,362,272,359,297,241,322,188,357,121,465,291,326,354,343,285,517,273,190,
270,243,269,126,217,210,188,282,160,312,327,208,362,271,358,296,240,322,187,357,147,510,290,326,348,349,277,528,273,190,
270,243,268,126,217,210,188,282,153,305,327,208,363,270,354,296,240,323,186,357,165,553,290,326,343,356,277,528,273,190,
270,243,267,126,218,211,191,282,151,303,325,207,363,270,348,297,241,323,177,357,165,553,289,326,333,358,314,518,273,189,
270,243,266,126,220,212,194,282,149,298,324,207,363,272,337,297,241,323,165,358,111,505,289,326,329,358,312,511,273,189,
270,243,265,126,221,212,199,282,149,290,323,207,361,275,326,294,243,323,153,360,58,456,289,325,325,352,306,499,273,189,
270,243,264,126,223,213,201,280,150,288,322,207,358,276,306,292,244,323,145,360,6,407,289,325,324,343,300,492,273,189,
270,243,263,126,224,213,204,279,151,289,322,207,355,276,282,292,246,323,139,358,-2,399,289,325,326,332,246,496,273,189,
